url,price,make,model,variant,reg,previous-owners,mpg,colour,interior-colour,exterior-colour,doors,fuel-type,bodystyle,mileage,engine-size,transmission
https://www.namauto.com/cars/9770579-toyota-auris-1.6-xr/,"N$ 189,900",Toyota,Auris,1.6 XR,10UCA02891,N/A,N/A,White,N/A,white,5,Petrol,Hatchback,"78,000 km",1.6 l,Manual
https://www.namauto.com/cars/9890108-ford-eco-sport-1.0-ecoboost-titanium/,"N$ 189,900",Ford,EcoSport,1.0 ECOBOOST TITANIUM,10UCA73216,1,N/A,Blue,BLACK,BLUE,5,Petrol,SUV,"79,373 km",1 l,Manual
https://www.namauto.com/cars/10114748-ford-eco-sport-1.0-ecoboost-titanium/,"N$ 189,900",Ford,EcoSport,1.0 ECOBOOST TITANIUM,20UCA73216,1,N/A,Blue,N/A,BLUE,5,Petrol,SUV,"79,373 km",1 l,Manual
https://www.namauto.com/cars/10201212-gwm-steed-5-2.4-xcape-d-c/,"N$ 189,900",GWM,Steed 5,2.4 Xcape D/C,USED,1,N/A,White,Black,White,N/A,Petrol,Bakkie Single Cab,"43,000 km",N/A,Manual
https://www.namauto.com/cars/10246070-hyundai-ix35-2.0-premium/,"N$ 189,900",Hyundai,ix35,2.0 PREMIUM,10UCA94252,1,N/A,Silver,N/A,silver,5,Petrol,SUV,"95,500 km",2 l,Manual
https://www.namauto.com/cars/9101867-nissan-hardbody-np300-2.4i-4-x4/,"N$ 192,500",Nissan,HARDBODY,NP300 2.4i 4X4,USED,1,N/A,White,N/A,white,4,Petrol,Bakkie Double Cab,"84,000 km",2.4 l,Manual
https://www.namauto.com/cars/10249257-volkswagen-polo-1.0-tsi-comfortline/,"N$ 195,000",Volkswagen,Polo,1.0 TSI COMFORTLINE,USED,1,N/A,Silver,Grey,Silver,5,Petrol,Hatchback,"40,000 km",1 l,Manual
https://www.namauto.com/cars/9952639-volkswagen-polo-gp-1.2-tsi-highline-81-kw/,"N$ 198,500",Volkswagen,Polo,GP 1.2 TSI HIGHLINE (81KW),PREOWNED,1,N/A,White,Black,White,5,Petrol,Hatchback,"99,500 km",1.2 l,Manual
https://www.namauto.com/cars/10114730-toyota-land-cruiser-100-vx-v8-cygnus-automatic/,"N$ 199,900",Toyota,Land Cruiser,100 VX V8 Cygnus Automatic,CYGNUS99,2,N/A,White,Beigh,Pearl White,5,N/A,Station Wagon,"234,000 km",4.7 l,N/A
https://www.namauto.com/cars/10168681-volkswagen-golf-vii-1.4-tsi-comfortline/,"N$ 199,900",Volkswagen,Golf,VII 1.4 TSI COMFORTLINE,PREOWNED,1,N/A,White,Black,White,5,Petrol,Hatchback,"69,500 km",1.4 l,Manual
https://www.namauto.com/cars/10175281-volkswagen-polo-vivo-1.4-comfortline-5-dr/,"N$ 199,900",Volkswagen,POLO VIVO,1.4 COMFORTLINE (5DR),PREOWNED,1,N/A,Blue,Grey,Blue,5,Petrol,Hatchback,"3,000 km",1.4 l,Manual
https://www.namauto.com/cars/10201181-nissan-np300-hardbody-hardbody-np300-2.5-tdi-4-x4-p-u-d-c/,"N$ 199,900",Nissan,NP300 Hardbody,HARDBODY NP300 2.5 TDI 4X4 P/U D/C,USED,1,N/A,White,Black,White,4,Diesel,Bakkie Double Cab,"132,000 km",2.5 l,Manual
https://www.namauto.com/cars/10300142-ford-kuga-2.0-tdci-titanium-awd-powershift/,"N$ 199,900",Ford,Kuga,2.0 TDCI TITANIUM AWD POWERSHIFT,10UCA32704,N/A,N/A,Blue,N/A,blue,5,Diesel,SUV,"63,000 km",2 l,Automatic
https://www.namauto.com/cars/10300181-nissan-np300-hardbody-hardbody-np300-2.5-tdi-k11-p-u-d-c/,"N$ 199,900",Nissan,NP300 Hardbody,HARDBODY NP300 2.5 TDI (K11) P/U D/C,10UCA94076,N/A,N/A,White,N/A,white,4,Diesel,Bakkie Double Cab,"41,000 km",2.5 l,Manual
https://www.namauto.com/cars/10321370-kia-rio-1.4-tec-5-dr/,"N$ 199,900",Kia,Rio,1.4 TEC 5DR,USED,1,N/A,White,Black,White,5,Petrol,Hatchback,"59,000 km",1.4 l,Manual
https://www.namauto.com/cars/10352416-ford-focus-2.0-ecoboost-st3/,"N$ 199,900",Ford,Focus,2.0 ECOBOOST ST3,10UCA41884,N/A,N/A,Red,N/A,red,5,Petrol,Hatchback,"81,000 km",2 l,Manual
