index,url,price,make,model,variant,reg,previous-owners,mpg,colour,interior-colour,exterior-colour,doors,fuel-type,bodystyle,mileage,engine-size,transmission
15,https://www.namauto.com/cars/9970766-toyota-hilux-3.0-d-4-d-raider-4-x4/,"N$ 260,000 ",Toyota,Hilux,3.0 D-4D RAIDER 4X4,USED,1,N/A,Silver,Grey,Silver,4,Diesel,Bakkie Double Cab,"61,000 km",3 l,Automatic
16,https://www.namauto.com/cars/9050378-audi-a3-1.8-tfsi-ambition/,"N$ 265,000 ",Audi,A3,1.8 TFSI AMBITION,2,1,N/A,White,N/A,white,3,Petrol,Hatchback,"76,000 km",1.8 l,Manual
17,https://www.namauto.com/cars/9922181-toyota-hilux-2.5-d-4-d-srx-4-x4/,"N$ 265,000 ",Toyota,Hilux,2.5 D-4D SRX 4X4,USED,1,N/A,White,Grey,White,2,Diesel,Bakkie Single Cab,"227,200 km",2.5 l,Manual
18,https://www.namauto.com/cars/10232485-isuzu-kb-240i-le/,"N$ 265,000 ",Isuzu,KB,240i LE,ANGOLO,1,N/A,Blue,Black,Blue,4,Petrol,Bakkie Double Cab,"57,400 km",2.4 l,Manual
19,https://www.namauto.com/cars/10298904-volkswagen-polo-1.0-tsi-comfortline/,POA ,Volkswagen,Polo,1.0 TSI COMFORTLINE,NEW,N/A,N/A,Silver,Grey,White - Silver,5,Petrol,Hatchback,10 km,1 l,Manual
20,https://www.namauto.com/cars/6989252-honda-ballade-trend-cvt/,"N$ 265,900 ",Honda,Ballade,Trend (CVT),NEW,N/A,N/A,Silver,Black,Alabaster Silver Metallic,4,Petrol,Sedan,N/A,1.5 l,CVT
21,https://www.namauto.com/cars/8898745-nissan-new-micra-0.9-t-acenta/,"N$ 266,400 ",Nissan,New Micra,0.9T Acenta,NEW,N/A,N/A,Red,Black,Red,5,Petrol,Hatchback,1 km,0.9 l,Manual
22,https://www.namauto.com/cars/7170667-renault-clio-turbo-dynamique-5-dr-66-kw/,"N$ 266,616 ",Renault,Clio,Turbo DYNAMIQUE 5DR (66KW),NEW,N/A,15.0 KPL,Silver,Black,silver,5,Petrol,Hatchback,1 km,0.9 l,Manual
23,https://www.namauto.com/cars/10395004-volkswagen-polo-vivo-1.0-tsi-gt-5-dr/,"N$ 267,000 ",Volkswagen,POLO VIVO,1.0 TSI GT (5DR),NEW,N/A,N/A,Grey,N/A,N/A,5,Petrol,Hatchback,15 km,1 l,Manual
0,https://www.namauto.com/cars/7066946-toyota-hilux-2.0-vvt-i-srx/,"N$ 267,800 ",Toyota,Hilux,2.0VVT-i SRX,NEW,N/A,N/A,Silver,Black,Chromium Silver,2,Petrol,Bakkie Single Cab,10 km,2 l,Manual
